id,name,category,storageForm,description,moisturePerc,dryMatterPerc,ashPerc,metabolizableEnergyKcal,crudeProteinPerc,crudeFatPerc,crudeFiberPerc,calciumPerc,totalPhosphorusPerc,availablePhosphorusPerc,sodiumPerc,chloridePerc,saltPerc,lysinePerc,methioninePerc,cystinePerc,taurinePerc
ing_00193,"Salad dressing, bacon and tomato",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167704),58.7,41.3,2.6,3260.0,1.8,35.0,0.2,0.004,0.025,0.0125,0.905,1.3575,2.2625,0.0,0.0,0.0,0.0
ing_00194,"Cheese, parmesan, low sodium",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167705),22.2,77.8,2.51,4510.0,41.6,29.99,0.0,0.8,0.807,0.4035,0.063,0.0945,0.1575,0.0,0.0,0.0,0.0
ing_00195,"Jams, preserves, marmalade, reduced sugar",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167706),62.0,38.0,0.3,1510.0,0.0,0.1,1.5,0.0,0.007,0.0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ing_00196,"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167707),1.32,98.68,7.27,2270.0,0.25,0.16,2.2,0.8,0.493,0.2465,0.014,0.021,0.035,0.0,0.0,0.0,0.0
ing_00197,"Tomato and vegetable juice, low sodium",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167708),93.5,6.5,1.21,220.0,0.6,0.1,0.8,0.011,0.017,0.0085,0.058,0.087,0.145,0.0,0.0,0.0,0.0
ing_00198,"Turkey, wing, smoked, cooked, with skin, bone removed",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167709),59.5,40.5,0.7,2210.0,27.4,12.41,0.0,0.024,0.197,0.0985,0.996,1.494,2.49,0.0,0.0,0.0,0.0
ing_00199,"Turkey, drumstick, smoked, cooked, with skin, bone removed",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167710),61.2,38.8,1.1,2000.0,27.9,9.8,0.0,0.032,0.199,0.0995,0.996,1.494,2.49,0.0,0.0,0.0,0.0
ing_00200,"Beverages, Chocolate-flavored drink, whey and milk based",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167711),87.63,12.37,0.58,490.0,0.64,0.4,0.6,0.1,0.024,0.012,0.091,0.1365,0.2275,0.0,0.0,0.0,0.0
ing_00201,"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167712),12.32,87.68,7.43,5410.0,37.04,41.78,0.0,0.011,0.533,0.2665,1.03,1.545,2.575,0.412,1.971,0.824,0.0
ing_00202,"Turkey, light or dark meat, smoked, cooked, skin and bone removed",proteinSource,fresh,USDA SR Legacy Profile (FDC ID: 167713),64.9,35.1,0.8,1620.0,29.3,5.0,0.0,0.025,0.213,0.1065,0.996,1.494,2.49,0.0,0.0,0.0,0.0
ing_00203,"Hearts of palm, raw",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167714),69.5,30.5,1.99,1150.0,2.7,0.2,1.5,0.018,0.14,0.07,0.014,0.021,0.035,0.0,0.0,0.0,0.0
ing_00204,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",grain,dry,USDA SR Legacy Profile (FDC ID: 167715),3.14,96.86,3.22,3390.0,10.93,2.06,14.7,0.044,0.418,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ing_00205,"Cheese, cottage, lowfat, 1% milkfat, with vegetables",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167716),83.5,16.5,1.6,670.0,10.9,1.0,0.0,0.056,0.128,0.064,0.403,0.6045,1.0075,0.0,0.0,0.0,0.0
ing_00206,Yeast extract spread,agricultural,dry,USDA SR Legacy Profile (FDC ID: 167717),40.9,59.1,13.9,1850.0,23.88,0.9,6.5,0.067,0.104,0.052,3.38,5.07,8.45,0.0,0.0,0.0,0.0
ing_00207,"Babyfood, juice, pear",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167718),87.9,12.1,0.24,430.0,0.0,0.0,0.1,0.012,0.012,0.006,0.008,0.012,0.02,0.0,0.0,0.0,0.0
ing_00208,"Chicken, meatless, breaded, fried",proteinSource,fresh,USDA SR Legacy Profile (FDC ID: 167719),56.44,43.56,1.0,2340.0,21.28,12.77,4.3,0.042,0.245,0.1225,0.4,0.6,1.0,0.0,0.0,0.0,0.0
ing_00209,"Babyfood, meat, beef with vegetables, toddler",proteinSource,fresh,USDA SR Legacy Profile (FDC ID: 167720),85.23,14.77,0.46,690.0,3.5,2.1,1.8,0.011,0.037,0.0185,0.026,0.039,0.065,0.0,0.0,0.0,0.0
ing_00210,"Frozen novelties, juice type, juice with cream",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167721),72.57,27.43,0.5,1150.0,1.41,1.41,0.1,0.141,0.041,0.0205,0.042,0.063,0.105,0.0,0.0,0.0,0.0
ing_00211,Tofu yogurt,agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167722),77.5,22.5,1.24,940.0,3.5,1.8,0.2,0.118,0.038,0.019,0.035,0.0525,0.0875,0.0,0.0,0.0,0.0
ing_00212,"Alcoholic beverage, rice (sake)",grain,fresh,USDA SR Legacy Profile (FDC ID: 167723),78.4,21.6,0.0,1340.0,0.5,0.0,0.0,0.005,0.006,0.003,0.002,0.003,0.005,0.0,0.0,0.0,0.0
ing_00213,"Millet, puffed",agricultural,dry,USDA SR Legacy Profile (FDC ID: 167724),2.5,97.5,1.56,3540.0,13.0,3.4,2.7,0.008,0.266,0.133,0.005,0.0075,0.0125,0.0,0.0,0.0,0.0
ing_00214,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",grain,dry,USDA SR Legacy Profile (FDC ID: 167725),3.4,96.6,5.53,3800.0,10.0,3.0,8.0,0.08,0.343,0.1715,0.38,0.57,0.95,0.0,0.0,0.0,0.0
ing_00215,"Babyfood, mixed fruit yogurt, strained",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167726),81.8,18.2,0.37,750.0,0.8,0.8,0.4,0.028,0.022,0.011,0.016,0.024,0.04,0.0,0.0,0.0,0.0
ing_00216,"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167727),69.84,30.16,0.6,1410.0,5.16,4.52,0.0,0.079,0.079,0.0395,0.095,0.1425,0.2375,0.0,0.0,0.0,0.0
ing_00217,"Babyfood, rice and apples, dry",grain,dry,USDA SR Legacy Profile (FDC ID: 167728),3.2,96.8,0.81,3960.0,6.7,2.4,3.0,0.85,0.423,0.2115,0.016,0.024,0.04,0.0,0.0,0.0,0.0
ing_00218,"Babyfood, juice, apple - cherry",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167729),88.2,11.8,0.36,470.0,0.2,0.1,0.3,0.007,0.012,0.006,0.004,0.006,0.01,0.0,0.0,0.0,0.0
ing_00219,"Milk, imitation, non-soy",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167730),90.0,10.0,1.1,460.0,1.6,2.0,0.0,0.082,0.1,0.05,0.055,0.0825,0.1375,0.0,0.0,0.0,0.0
ing_00220,"Babyfood, cereal, rice with pears and apple, dry, instant fortified",grain,dry,USDA SR Legacy Profile (FDC ID: 167731),2.0,98.0,2.0,3890.0,6.6,0.9,2.6,0.038,0.253,0.1265,0.002,0.003,0.005,0.0,0.0,0.0,0.0
ing_00221,"Babyfood, banana no tapioca, strained",agricultural,fresh,USDA SR Legacy Profile (FDC ID: 167732),76.7,23.3,0.76,910.0,1.0,0.2,1.6,0.004,0.02,0.01,0.002,0.003,0.005,0.0,0.0,0.0,0.0
